group_id,n_samples,n_pos,n_neg,auc,ap,acc@0.5,f1@0.5,mean_score
4,15,7,8,0.9642857142857143,0.9617346938775508,0.8666666666666667,0.8571428571428571,0.559033203125
5,80,38,42,0.8452380952380952,0.8071042574666324,0.8125,0.810126582278481,0.5141754150390625
61,10,4,6,0.7916666666666667,0.8125,0.8,0.6666666666666666,0.45015869140625
57,14,7,7,0.7551020408163266,0.715532879818594,0.6428571428571429,0.6153846153846154,0.47042410714285715
48,53,24,29,0.7234195402298851,0.7403359156000245,0.660377358490566,0.6086956521739131,0.4648230210790094
37,25,13,12,0.7115384615384615,0.7905198989177318,0.56,0.56,0.4965478515625
6,37,16,21,0.7068452380952381,0.6679185219338251,0.6216216216216216,0.65,0.5865907411317568
9,24,10,14,0.6857142857142857,0.662724726254138,0.6666666666666666,0.5555555555555556,0.4409383138020833
8,17,5,12,0.6833333333333332,0.42126984126984124,0.7058823529411765,0.6666666666666666,0.5777803308823529
11,68,31,37,0.6756756756756757,0.6234798392130764,0.6176470588235294,0.6060606060606061,0.5288642434512868
59,17,8,9,0.6527777777777778,0.6595508658008657,0.6470588235294118,0.625,0.4879581227022059
24,18,7,11,0.6493506493506493,0.6458874458874457,0.6111111111111112,0.36363636363636365,0.3857489691840278
1,37,16,21,0.6190476190476191,0.5973473317223316,0.6216216216216216,0.5,0.42802140519425674
38,17,11,6,0.5909090909090909,0.7045207614726331,0.5294117647058824,0.5,0.4180692784926471
10,81,33,48,0.5795454545454546,0.5579682056727673,0.5679012345679012,0.47761194029850745,0.48825864438657407
40,13,5,8,0.575,0.4634920634920635,0.5384615384615384,0.5,0.5286020132211539
12,20,7,13,0.5714285714285714,0.5681536717251003,0.7,0.4,0.3813232421875
49,19,8,11,0.5681818181818181,0.5701118326118326,0.5789473684210527,0.42857142857142855,0.40607653166118424
50,54,23,31,0.5091164095371669,0.5500912931305657,0.46296296296296297,0.43137254901960786,0.5456068250868056
43,48,22,26,0.4982517482517482,0.506241219794814,0.4791666666666667,0.4186046511627907,0.48325856526692706
41,13,5,8,0.475,0.5226373626373626,0.5384615384615384,0.25,0.3691218449519231
